UNITED STATES OF AMERICA,132909.00,135047.00,135222.00,135882.00,132500.00,129053.00,127577.00,120901.63,120213.97,120983.81
AFGHANISTAN,630.00,670.00,720.00,770.00,830.00,910.00,1000.00,1080.00,1141.00,1151.53
ALBANIA,195.00,225.00,238.00,265.00,281.00,326.00,328.00,335.00,341.69,378.05
ALGERIA,1906.00,2043.00,2211.97,2394.92,2593.00,2691.00,2800.00,3050.00,3268.00,3483.05
ANGOLA,273.00,276.00,400.00,566.00,574.00,590.00,610.00,640.00,670.00,700.00
ARGENTINA,5230.00,5325.00,5745.00,6271.00,6706.00,7605.00,8269.00,8683.00,9451.00,10143.58
AUSTRALIA,11011.00,11273.00,11519.00,11804.00,12023.00,12269.31,12474.00,12714.24,13000.02,13297.26
AUSTRIA,4157.00,4205.00,4246.00,4285.00,4360.00,4441.00,4513.00,4584.00,4641.31,4694.92
AZERBAIDJAN,478.00,552.00,618.00,710.00,770.00,816.00,880.55,958.60,1054.46,1150.00
BAHAMAS,86.00,86.00,89.00,91.00,91.00,92.00,93.00,93.64,95.46,97.05
BAHRAIN,264.00,310.00,375.00,453.00,527.00,544.80,600.00,650.00,750.00,860.00
BANGLADESH,281.00,285.00,288.00,291.00,314.30,339.46,366.64,396.00,410.47,417.83
BARBADOS,72.00,75.00,77.00,79.00,80.00,81.00,82.00,82.51,85.05,86.36
BELARUS,1824.41,2027.01,2180.64,2293.23,2442.62,2601.42,2750.55,2748.58,2777.92,2942.60
BELGIUM,4861.00,4929.00,5006.00,5087.00,5160.00,5279.00,5359.00,5393.00,5439.30,5511.08
BELIZE,12.00,12.00,12.00,13.00,13.00,13.00,13.90,14.70,15.50,16.30
BENIN,141.91,143.94,146.00,152.85,159.71,166.52,170.00,180.00,190.00,200.00
BERMUDA,22.00,22.00,23.00,23.00,23.00,22.00,22.00,22.28,22.15,22.08
BOLIVIA,148.00,160.00,173.00,190.00,198.00,208.11,218.74,231.72,245.20,261.33
BOSNIA,555.18,579.37,624.45,673.37,694.00,725.00,800.00,850.00,890.00,920.00
BOTSWANA,83.00,92.00,105.00,121.00,135.00,177.00,180.00,190.00,210.00,220.00
BRAZIL,18370.00,19446.00,20430.00,21884.00,23612.00,25541.00,27491.00,29566.00,31339.00,32715.00
BRUNEI,77.00,80.00,86.00,94.00,96.00,100.00,110.00,120.00,150.00,180.00
BULGARIA,2538.00,1768.00,2082.00,2366.00,2502.00,2602.00,2694.00,2806.81,2910.24,3020.00
BURKINA FASO,85.00,88.00,105.00,109.00,112.00,116.00,120.00,130.00,140.00,150.00
BURUNDI,14.00,15.00,16.00,16.00,16.00,17.00,18.00,20.00,20.00,20.00
CAMEROON,176.00,179.00,184.00,192.64,201.28,209.86,220.00,230.00,240.00,250.00
CANADA,18124.00,18739.00,19199.00,19613.00,19877.00,20268.00,20608.00,20652.00,21261.66,21729.60
CHILE,1595.00,1702.00,1803.00,1927.00,2008.00,2172.00,2363.00,2580.00,2786.46,2993.73
CHINA,21325.00,26196.00,31960.00,38389.00,48451.00,61634.00,74850.00,87376.00,101360.80,115860.00
COLOMBIA,1638.00,1776.00,1914.00,2074.00,2199.00,2319.00,2506.00,2707.00,2828.67,3047.23
CONGO (RDC),894.00,903.00,911.00,914.00,917.00,920.00,943.00,982.00,1000.00,1050.00
COSTA RICA,476.00,489.00,525.00,552.00,594.00,641.70,687.93,734.17,766.95,802.83
CROATIA,1385.00,1436.00,1491.00,1535.00,1533.00,1515.00,1518.00,1445.22,1448.30,1474.50
CUBA,195.00,197.00,200.00,202.00,206.00,210.00,214.00,216.04,222.24,227.30
CYPRUS,355.00,373.00,411.00,444.00,461.00,463.00,470.00,475.00,474.56,478.49
CZECH REPUBLIC,3959.00,4109.00,4280.00,4423.00,4435.00,4496.00,4583.00,4699.00,4820.30,4937.21
DENMARK,1971.00,2026.00,2075.00,2105.00,2126.00,2169.00,2203.00,2240.00,2279.79,2334.59
DOMINICAN REPUBLIC,557.00,577.00,602.00,630.00,645.00,662.00,663.00,697.18,717.09,736.00
ECUADOR,530.00,560.00,590.00,630.00,670.00,727.00,790.00,844.00,890.71,938.56
EGYPT,2560.00,2307.00,2400.00,2546.00,3000.00,3437.00,3489.49,3541.97,3704.84,3915.11
EL SALVADOR,74.00,79.00,82.00,85.00,86.00,88.00,92.00,94.09,101.48,106.61
ESTONIA,493.80,554.00,523.80,551.80,545.70,552.70,574.02,602.13,628.50,653.00
ETHIOPIA,74.00,73.00,73.00,75.00,72.59,74.48,78.02,82.00,90.00,90.00
FINLAND,2414.00,2489.00,2554.00,2683.00,2758.00,2858.00,2959.00,3037.00,3105.83,3194.95
FRANCE,30100.00,30400.00,30700.00,30850.00,31050.00,31300.00,31550.00,31600.00,31650.00,31800.00
GEORGIA,340.00,382.00,428.00,501.00,536.00,577.00,600.00,640.00,670.00,690.00
GERMANY,46090.00,46570.00,41184.00,41321.00,41738.00,42302.00,42928.00,43431.00,43851.23,44403.12
GHANA,110.00,275.00,370.00,500.00,440.00,450.00,470.00,490.00,510.00,530.00
GREECE,4303.13,4543.02,4798.53,5023.94,5131.96,5216.87,5203.59,5167.56,5124.21,5110.87
GUAM,64.00,63.00,65.00,69.00,69.00,71.00,72.00,74.00,75.50,77.10
GUATEMALA,334.00,384.00,439.00,477.00,506.00,530.00,563.00,580.76,608.04,654.42
HAITI,37.00,37.00,36.00,37.00,35.00,37.00,38.00,38.78,41.31,43.08
HONDURAS,27.00,29.00,30.00,31.00,32.00,33.00,34.00,36.40,38.60,40.80
HONG-KONG,369.00,378.00,390.00,401.00,412.00,433.00,453.00,473.00,494.00,513.00
HUNGARY,2889.00,2954.00,3012.00,3055.43,3013.72,2984.06,2967.81,2986.03,3040.73,3107.70
ICELAND,187.00,197.00,208.00,210.00,205.00,205.00,206.11,210.07,213.11,216.00
INDIA,7626.00,8572.00,9444.00,10606.00,11744.00,13268.00,15027.00,16896.00,19095.00,21971.86
INDONESIA,5076.23,6035.29,6877.23,7489.85,7910.41,8891.04,9459.60,10494.00,11301.00,12594.94
